generacion,mejor_fitness,promedio_fitness,peor_fitness,mejor_lat,mejor_lon
0,0.8381933333837095,0.6191265410280267,0.0,-43.306008895803764,-65.02556983053553
1,0.8381933333837095,0.5405627516466349,0.0,-43.306008895803764,-65.02556983053553
2,0.8381933333837095,0.5992939604790343,0.0,-43.306008895803764,-65.02556983053553
3,0.8381933333837095,0.5680784367661832,0.0,-43.306008895803764,-65.02556983053553
4,0.8421865894076034,0.5805827821911027,0.0,-43.306008895803764,-65.02742517825816
5,0.8421865894076034,0.6197183092510027,0.0,-43.306008895803764,-65.02742517825816
6,0.8421865894076034,0.6461967489435879,0.0,-43.306008895803764,-65.02742517825816
7,0.842376405812784,0.6262683652371835,0.0,-43.3059642319565,-65.02750394050011
8,0.842376405812784,0.6389184536142261,0.0,-43.3059642319565,-65.02750394050011
9,0.844038080616764,0.6492688995405648,0.0,-43.30249591283472,-65.02813275463267
10,0.8441027229601786,0.6818467126867125,0.0,-43.30196440865971,-65.0282373942797
11,0.8546161476362453,0.5557270736621871,0.0,-43.30499038075769,-65.03284212569694
12,0.8547462623297892,0.570146374229132,0.0,-43.30953678222885,-65.03467986617764
13,0.8560882265263059,0.6032006016614148,0.0,-43.308254191335976,-65.03450019093131
14,0.8618946919315872,0.6464927405229153,0.0,-43.30612291120107,-65.03618210415983
15,0.8621138673785186,0.6746335094925405,0.0,-43.30349938113014,-65.03608485789657
16,0.8621138673785186,0.7612415513099207,0.0,-43.30349938113014,-65.03608485789657
17,0.8622402652372658,0.762863120228895,0.0,-43.30524145979803,-65.03614943144296
18,0.8624525640200276,0.7830335950368708,0.0,-43.30411470088175,-65.03618130240355
19,0.8624628670986114,0.7677007155715185,0.0,-43.30634230325438,-65.03648854334718
20,0.8625319540729859,0.7406694092033522,0.0,-43.30448097374799,-65.03621278711594
21,0.8626020121007453,0.7767867806095464,0.0,-43.304788529770214,-65.03625614733839
22,0.8626456008148797,0.7532433420110587,0.0,-43.30509916450923,-65.03630297642562
23,0.8626456008148797,0.7611271612021304,0.0,-43.30509916450923,-65.03630297642562
24,0.8627526475423071,0.7190372527501658,0.0,-43.303874111275235,-65.03632172256843
25,0.863029330457184,0.7912280218087463,0.0,-43.31037019617792,-65.0396373419421
26,0.8655855410724721,0.7719731620093959,0.0,-43.3048699197797,-65.03751621292336
27,0.8656173446579981,0.7581452986192846,0.0,-43.30504259801386,-65.03754529884915
28,0.8656173446579981,0.7828852390190387,0.0,-43.30504259801386,-65.03754529884915
29,0.8660287003676878,0.7899780286910162,0.0,-43.30393354369477,-65.03770562085961
30,0.8661454230394428,0.7658116595190425,0.0,-43.304615332071585,-65.0377361717284
31,0.8673530283483968,0.7794605817693382,0.0,-43.30381151816211,-65.03827565740656
32,0.8679703425871113,0.7614061379994864,0.0,-43.3046474445126,-65.03849631217872
33,0.8680664644517241,0.7796951195208095,0.0,-43.30507737558012,-65.03856715575861
34,0.8680664644517241,0.7574535344733369,0.0,-43.30507737558012,-65.03856715575861
35,0.8680664644517241,0.719719237825353,0.0,-43.30507737558012,-65.03856715575861
36,0.8680664644517241,0.7875352417480702,0.0,-43.30507737558012,-65.03856715575861
37,0.8680664644517241,0.7986977042126797,0.0,-43.30507737558012,-65.03856715575861
38,0.8680664644517261,0.7484115967006022,0.0,-43.30507737558011,-65.03856715575861
39,0.8680664644517261,0.7126271332034027,0.0,-43.30507737558011,-65.03856715575861
40,0.8680664644517261,0.7215128936479696,0.0,-43.30507737558011,-65.03856715575861
41,0.8680664644517261,0.7508863584133668,0.0,-43.30507737558011,-65.03856715575861
42,0.8680664644517261,0.7958130444836781,0.0,-43.30507737558011,-65.03856715575861
43,0.8680664644517261,0.7483840190640056,0.0,-43.30507737558011,-65.03856715575861
